eventId,period,time,away_team,home_team,home_team_side,eventType,eventOwnerTeamId,losingPlayerId,winningPlayerId,xCoord,yCoord,zoneCode,hittingPlayerId,hitteePlayerId,blockingPlayerId,shootingPlayerId,reason,playerId,shotType,goalieInNetId,awaySOG,homeSOG,secondaryReason,typeCode,descKey,duration,committedByPlayerId,drawnByPlayerId,scoringPlayerId,scoringPlayerTotal,assist1PlayerId,assist1PlayerTotal,awayScore,homeScore,discreteClip,assist2PlayerId,assist2PlayerTotal,servedByPlayerId
239,2,00:34,FLA,VGK,left,hit,54.0,,,96.0,10.0,O,8478462.0,8477986.0,,,,,,,,,,,,,,,,,,,,,,,,
370,2,00:50,FLA,VGK,left,shot-on-goal,13.0,,,-81.0,0.0,O,,,,8476393.0,,,tip-in,8478499.0,9.0,6.0,,,,,,,,,,,,,,,,
304,2,00:51,FLA,VGK,left,blocked-shot,13.0,,,-83.0,0.0,D,,,8474565.0,8476393.0,,,,,,,,,,,,,,,,,,,,,,
371,2,01:23,FLA,VGK,left,shot-on-goal,54.0,,,83.0,5.0,O,,,,8478403.0,,,backhand,8475683.0,9.0,7.0,,,,,,,,,,,,,,,,
240,2,01:25,FLA,VGK,left,stoppage,,,,,,,,,,,goalie-stopped-after-sog,,,,,,,,,,,,,,,,,,,,,
372,2,01:25,FLA,VGK,left,faceoff,13.0,8476905.0,8477493.0,69.0,22.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,
373,2,01:53,FLA,VGK,left,shot-on-goal,54.0,,,51.0,-3.0,O,,,,8476905.0,,,wrist,8475683.0,9.0,8.0,,,,,,,,,,,,,,,,
241,2,02:00,FLA,VGK,left,giveaway,54.0,,,40.0,36.0,O,,,,,,8477447.0,,,,,,,,,,,,,,,,,,,,
374,2,02:03,FLA,VGK,left,shot-on-goal,13.0,,,-73.0,26.0,O,,,,8477933.0,,,wrist,8478499.0,10.0,8.0,,,,,,,,,,,,,,,,
242,2,02:04,FLA,VGK,left,stoppage,,,,,,,,,,,goalie-stopped-after-sog,,,,,,,,,,,,,,,,,,,,,
375,2,02:04,FLA,VGK,left,faceoff,13.0,8476448.0,8477933.0,-69.0,22.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,
